ProfileCnt,LayoutName,UsedByProfiles
33,Opportunity-GO Bundle New Customer Layout 2018,|GO CPRE|GO CPRE|GO Customer Service Manager|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Group Super User|GO Gorkana Management|GO Gorkana Management|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Gorkana Group Standard User- Manager|Senior Insights Manager|UK Jobs Board Sales User|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK VP of Sales|VP of Sales or Customer Operations
1,Opportunity-GO Bundle New Customer Layout 2019,|GO Gorkana Group Standard User - Agency-2018
1,Opportunity-GO Bundle New Customer Layout- SYS Admin,|Admin
0,Opportunity-GO CPRE,
25,Opportunity-GO CPRE 2018,|GO CPRE|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Management|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|Senior Insights Manager|UK Jobs Board Sales User|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK VP of Sales|VP of Sales or Customer Operations
45,Opportunity-GO New Opportunity Layout_Feb2012,|Benelux- GDPR User|ContractManager|Development Services|FI Contract Manager|FI Marketing User|FI Standard User -Lightning|FI Standard User|FI System Administrator|France- GDPR User|GE Contract Manager|GE Local Admin|GE Management User|GE Marketing User|GE No Extract|GE Opp User|GE Solution Manager|GE Standard User|Identity User|Inactive Profile|MarketingProfile|Premier Support User|PRN Standard User|ReadOnly|SE Contract Manager|SE Marketing User|SE Sales Manager User|SE Solution Manager|SE Standard User -Lightning|SE Standard User|SE Support User|SE System Administrator|SE Test User Temp|SolutionManager|Standard Platform User|Standard|Sys Admin - Data Restrictions|System Administrator Upload|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Solution Manager|UK Standard User|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
1,Opportunity-GO New Opportunity Layout_Feb2012_ SYS ADMIN,|Admin
45,Opportunity-GO Renewal Opportunity Layout,|Benelux- GDPR User|ContractManager|Development Services|FI Contract Manager|FI Marketing User|FI Standard User -Lightning|FI Standard User|FI System Administrator|France- GDPR User|GE Contract Manager|GE Local Admin|GE Management User|GE Marketing User|GE No Extract|GE Opp User|GE Solution Manager|GE Standard User|Identity User|Inactive Profile|MarketingProfile|Premier Support User|PRN Standard User|ReadOnly|SE Contract Manager|SE Marketing User|SE Sales Manager User|SE Solution Manager|SE Standard User -Lightning|SE Standard User|SE Support User|SE System Administrator|SE Test User Temp|SolutionManager|Standard Platform User|Standard|Sys Admin - Data Restrictions|System Administrator Upload|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Solution Manager|UK Standard User|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
37,Opportunity-GO Renewal Opportunity Layout 2018,|GO CPRE|GO CPRE|GO Customer Service Manager|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Management|GO Gorkana Management|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|REMOVED GO Integration|Senior Insights Manager|UK Jobs Board Sales User|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK VP of Sales|VP of Sales or Customer Operations
1,Opportunity-GO Renewal Opportunity Layout- SYS ADMIN,|Admin
73,Opportunity-GO Targets,|Admin|Benelux- GDPR User|ContractManager|Development Services|FI Contract Manager|FI Marketing User|FI Standard User -Lightning|FI Standard User|FI System Administrator|France- GDPR User|GE Contract Manager|GE Local Admin|GE Management User|GE Marketing User|GE No Extract|GE Opp User|GE Solution Manager|GE Standard User|GO CPRE|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Management|Identity User|Inactive Profile|MarketingProfile|Premier Support User|PRN Standard User|ReadOnly|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|SE Contract Manager|SE Marketing User|SE Sales Manager User|SE Solution Manager|SE Standard User -Lightning|SE Standard User|SE Support User|SE System Administrator|SE Test User Temp|Senior Insights Manager|SolutionManager|Standard Platform User|Standard|Sys Admin - Data Restrictions|System Administrator Upload|UK Contracts User 2018|UK Credit Control User|UK Jobs Board Sales User|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK Solution Manager|UK Standard User|UK VP of Sales|VP of Sales or Customer Operations|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
53,Opportunity-GO US Opportunity Layout,|Admin|Benelux- GDPR User|ContractManager|Development Services|FI Contract Manager|FI Marketing User|FI Standard User -Lightning|FI Standard User|FI System Administrator|France- GDPR User|GE Contract Manager|GE Local Admin|GE Management User|GE Marketing User|GE No Extract|GE Opp User|GE Solution Manager|GE Standard User|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User - US|Identity User|Inactive Profile|MarketingProfile|Premier Support User|PRN Standard User|ReadOnly|SE Contract Manager|SE Marketing User|SE Sales Manager User|SE Solution Manager|SE Standard User -Lightning|SE Standard User|SE Support User|SE System Administrator|SE Test User Temp|SolutionManager|Standard Platform User|Standard|Sys Admin - Data Restrictions|System Administrator Upload|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Solution Manager|UK Standard User|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
25,Opportunity-GO US Opportunity Layout 2018,|GO CPRE|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Management|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|Senior Insights Manager|UK Jobs Board Sales User|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK VP of Sales|VP of Sales or Customer Operations
49,Opportunity-GO Variable Existing Customer Layout,|Benelux- GDPR User|ContractManager|Development Services|FI Contract Manager|FI Marketing User|FI Standard User -Lightning|FI Standard User|FI System Administrator|France- GDPR User|GE Contract Manager|GE Local Admin|GE Management User|GE Marketing User|GE No Extract|GE Opp User|GE Solution Manager|GE Standard User|GO Gorkana Management|Identity User|Inactive Profile|MarketingProfile|Premier Support User|PRN Standard User|ReadOnly|REMOVED GO Integration|SE Contract Manager|SE Marketing User|SE Sales Manager User|SE Solution Manager|SE Standard User -Lightning|SE Standard User|SE Support User|SE System Administrator|SE Test User Temp|Senior Insights Manager|SolutionManager|Standard Platform User|Standard|Sys Admin - Data Restrictions|System Administrator Upload|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Solution Manager|UK Standard User|VP of Sales or Customer Operations|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
20,Opportunity-GO Variable Existing Customer Layout 2018,|GO CPRE|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User|REMOVED GO Gorkana Group Standard User- Manager|UK Jobs Board Sales User|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK VP of Sales
1,Opportunity-GO Variable Existing Customer Layout- SYS ADMIN,|Admin
49,Opportunity-GO Variable New Customer Layout,|Benelux- GDPR User|ContractManager|Development Services|FI Contract Manager|FI Marketing User|FI Standard User -Lightning|FI Standard User|FI System Administrator|France- GDPR User|GE Contract Manager|GE Local Admin|GE Management User|GE Marketing User|GE No Extract|GE Opp User|GE Solution Manager|GE Standard User|GO Gorkana Management|Identity User|Inactive Profile|MarketingProfile|Premier Support User|PRN Standard User|ReadOnly|REMOVED GO Integration|SE Contract Manager|SE Marketing User|SE Sales Manager User|SE Solution Manager|SE Standard User -Lightning|SE Standard User|SE Support User|SE System Administrator|SE Test User Temp|Senior Insights Manager|SolutionManager|Standard Platform User|Standard|Sys Admin - Data Restrictions|System Administrator Upload|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Solution Manager|UK Standard User|VP of Sales or Customer Operations|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
0,Opportunity-GO Variable New Customer Layout 2018,
66,Opportunity-German Opportunity Layout,|Benelux- GDPR User|Chatter External User|Content Only User|ContractManager|Development Services|FI System Administrator|France- GDPR User|GE Contract Manager|GE Local Admin|GE Marketing User|GE No Extract|GE Opp User|GE Solution Manager|GE Standard User|GO CPRE|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Management|Identity User|Inactive Profile|MarketingProfile|Premier Support User|ReadOnly|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|SE Contract Manager|SE Marketing User|SE Solution Manager|SE Support User|SE System Administrator|SE Test User Temp|Senior Insights Manager|SolutionManager|Standard Platform User|Standard|StandardAul|Sys Admin - Data Restrictions|System Administrator Upload|UK Contracts User 2018|UK Credit Control User|UK Jobs Board Sales User|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK Solution Manager|UK Standard User|UK VP of Sales|VP of Sales or Customer Operations|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
1,Opportunity-German Opportunity Layout- SYS ADMIN,|Admin
1,Opportunity-German Opportunity Management Layout,|GE Management User
3,Opportunity-Jobs Board Finance Layout 2019,|GO Gorkana Group Super User|UK Contracts User 2018|UK Credit Control User
67,Opportunity-Jobs Board Locked Layout 2019,|Benelux- GDPR User|ContractManager|Development Services|FI Contract Manager|FI Marketing User|FI Standard User -Lightning|FI Standard User|FI System Administrator|France- GDPR User|GE Contract Manager|GE Local Admin|GE Management User|GE Marketing User|GE No Extract|GE Opp User|GE Solution Manager|GE Standard User|GO CPRE|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Management|Identity User|Inactive Profile|MarketingProfile|Premier Support User|PRN Standard User|ReadOnly|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|SE Contract Manager|SE Marketing User|SE Sales Manager User|SE Solution Manager|SE Standard User -Lightning|SE Standard User|SE Support User|SE System Administrator|SE Test User Temp|Senior Insights Manager|SolutionManager|Standard Platform User|Standard|Sys Admin - Data Restrictions|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK Solution Manager|UK Standard User|UK VP of Sales|VP of Sales or Customer Operations|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
2,Opportunity-Jobs Board Sale Layout 2019,|Admin|UK Jobs Board Sales User
70,Opportunity-Locked for Finance ApprovalLayout 2018,|Benelux- GDPR User|ContractManager|Development Services|FI Contract Manager|FI Marketing User|FI Standard User -Lightning|FI Standard User|FI System Administrator|France- GDPR User|GE Contract Manager|GE Local Admin|GE Management User|GE Marketing User|GE No Extract|GE Opp User|GE Solution Manager|GE Standard User|GO CPRE|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Management|Identity User|Inactive Profile|MarketingProfile|Premier Support User|PRN Standard User|ReadOnly|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|SE Contract Manager|SE Marketing User|SE Sales Manager User|SE Solution Manager|SE Standard User -Lightning|SE Standard User|SE Support User|SE System Administrator|SE Test User Temp|Senior Insights Manager|SolutionManager|Standard Platform User|Standard|Sys Admin - Data Restrictions|System Administrator Upload|UK Jobs Board Sales User|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK Solution Manager|UK Standard User|UK VP of Sales|VP of Sales or Customer Operations|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
4,Opportunity-New Customer Layout 2019,|Senior Insights Manager|UK Sales Manager- Test Profile|UK Sales Manager|UK VP of Sales
5,Opportunity-New Customer Layout 2019 v%2E2,|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|System Administrator Upload|UK Jobs Board Sales User
2,Opportunity-New Customer Layout 2019 v%2E2 YK,|GO Gorkana Group Standard User - Agency-2018|UK Sales Manager- TK
1,Opportunity-New Customer Layout 2020- VP,|VP of Sales or Customer Operations
1,Opportunity-New Customer Layout 2020-PRN,|GO Gorkana Group Standard User - Bundles for PRN
516,Opportunity-Opportunity Layout,|Benelux- GDPR User|Benelux- GDPR User|Benelux- GDPR User|Benelux- GDPR User|Benelux- GDPR User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|Content Only User|Content Only User|Content Only User|Content Only User|Content Only User|Content Only User|Content Only User|Content Only User|Content Only User|Content Only User|Content Only User|Content Only User|Content Only User|Content Only User|Content Only User|Content Only User|Content Only User|Content Only User|Content Only User|ContractManager|ContractManager|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|Development Services|Development Services|France- GDPR User|France- GDPR User|France- GDPR User|France- GDPR User|France- GDPR User|GE Contract Manager|GE Contract Manager|GE Contract Manager|GE Contract Manager|GE Contract Manager|GE Local Admin|GE Local Admin|GE Local Admin|GE Local Admin|GE Local Admin|GE Management User|GE Management User|GE Management User|GE Management User|GE Management User|GE Marketing User|GE Marketing User|GE Marketing User|GE Marketing User|GE Marketing User|GE No Extract|GE No Extract|GE No Extract|GE No Extract|GE No Extract|GE Opp User|GE Opp User|GE Opp User|GE Opp User|GE Opp User|GE Solution Manager|GE Solution Manager|GE Solution Manager|GE Solution Manager|GE Solution Manager|GE Standard User|GE Standard User|GE Standard User|GE Standard User|GE Standard User|GO CPRE|GO CPRE|GO CPRE|GO CPRE|GO CPRE|GO Customer Service Manager|GO Customer Service Manager|GO Customer Service Manager|GO Customer Service Manager|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Chatter|GO Gorkana Group Chatter|GO Gorkana Group Chatter|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Marketing User|GO Gorkana Group Marketing User|GO Gorkana Group Marketing User|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Standard User|GO Gorkana Group Standard User|GO Gorkana Group Standard User|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User - US|GO Gorkana Group Super User - US|GO Gorkana Group Super User - US|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Group Super User|GO Gorkana Group Super User|GO Gorkana Group Super User|GO Gorkana Group Super User|GO Gorkana Management|GO Gorkana Management|GO Gorkana Management|GO Gorkana Management|GO Gorkana Management|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Identity User|Identity User|Identity User|Identity User|Identity User|Inactive Profile|Inactive Profile|Inactive Profile|Inactive Profile|Inactive Profile|MarketingProfile|MarketingProfile|MarketingProfile|MarketingProfile|MarketingProfile|Premier Support User|Premier Support User|Premier Support User|Premier Support User|Premier Support User|ReadOnly|ReadOnly|ReadOnly|ReadOnly|ReadOnly|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|REMOVED GO Integration|REMOVED GO Integration|REMOVED GO Integration|REMOVED GO Integration|SE Solution Manager|SE Solution Manager|SE Solution Manager|SE System Administrator|Senior Insights Manager|Senior Insights Manager|Senior Insights Manager|SolutionManager|SolutionManager|SolutionManager|SolutionManager|SolutionManager|Standard Platform User|Standard Platform User|Standard Platform User|Standard Platform User|Standard Platform User|Standard|Standard|Standard|Standard|Standard|StandardAul|StandardAul|StandardAul|StandardAul|StandardAul|StandardAul|StandardAul|StandardAul|StandardAul|StandardAul|StandardAul|StandardAul|StandardAul|StandardAul|StandardAul|StandardAul|StandardAul|StandardAul|StandardAul|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|UK Contracts User 2018|UK Contracts User 2018|UK Contracts User 2018|UK Contracts User 2018|UK Contracts User 2018|UK Credit Control User|UK Credit Control User|UK Credit Control User|UK Credit Control User|UK Credit Control User|UK Jobs Board Sales User|UK Jobs Board Sales User|UK Jobs Board Sales User|UK Jobs Board Sales User|UK Jobs Board Sales User|UK Marketing User|UK Marketing User|UK Marketing User|UK Marketing User|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK New Business%3A PRN %26 Mid-market 2018|UK New Business%3A PRN %26 Mid-market 2018|UK New Business%3A PRN %26 Mid-market 2018|UK New Business%3A PRN %26 Mid-market 2018|UK Sales Manager- Test Profile|UK Sales Manager- Test Profile|UK Sales Manager- Test Profile|UK Sales Manager- Test Profile|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager- TK|UK Sales Manager- TK|UK Sales Manager- TK|UK Sales Manager- TK|UK Sales Manager|UK Sales Manager|UK Sales Manager|UK Sales Manager|UK Sales Manager|UK Solution Manager|UK Solution Manager|UK Solution Manager|UK Solution Manager|UK Solution Manager|UK Standard User|UK Standard User|UK Standard User|UK Standard User|UK VP of Sales|UK VP of Sales|UK VP of Sales|UK VP of Sales|UK VP of Sales|VP of Sales or Customer Operations|VP of Sales or Customer Operations|VP of Sales or Customer Operations|VP of Sales or Customer Operations|VP of Sales or Customer Operations|_GGGSUA2|_GGGSUA2|_GGGSUA2|_GGGSUA2|_GGGSUA2|_GGGSUB2|_GGGSUB2|_GGGSUB2|_GGGSUB2|_GGGSUB2|_GGGSUCS|_GGGSUCS|_GGGSUCS|_GGGSUCS|_GGGSUCS|_VoSaCO|_VoSaCO|_VoSaCO|_VoSaCO|_VoSaCO
7,Opportunity-Prospect 2019,|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles|UK Jobs Board Sales User|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK VP of Sales
33,Opportunity-Renewal Opportunity Layout,|Benelux- GDPR User|Chatter External User|Content Only User|ContractManager|Development Services|France- GDPR User|GE Contract Manager|GE Local Admin|GE Management User|GE Marketing User|GE No Extract|GE Opp User|GE Solution Manager|GE Standard User|Identity User|Inactive Profile|MarketingProfile|Premier Support User|ReadOnly|SE Solution Manager|SolutionManager|Standard Platform User|Standard|StandardAul|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Solution Manager|UK Standard User|UK Standard User|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
1,Opportunity-Renewal Opportunity Layout 2019,|Senior Insights Manager
6,Opportunity-Renewal Opportunity Layout 2019 v%2E2,|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|UK Jobs Board Sales User|UK Sales Manager|UK VP of Sales
