ProfileCnt,LayoutName,UsedByProfiles
12,Account-GO Customer Account Layout 2019,|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User|GO Gorkana Group Standard User|GO Gorkana Group Super User - US
1,Account-GO Customer Account Layout 2019- Manager,|Senior Insights Manager
0,Account-GO Customer Account Layout 2019- Manager v%2E2,
0,Account-GO Customer Account Layout 2020- Manager,
1,Account-GO Customer Account Layout 2020- PRN,|GO Gorkana Group Standard User - Bundles for PRN
0,Account-GO US Customer Account Layout,
8,Account-Jobs Board Customer Account Layout 2019,|UK Jobs Board Sales User|UK Jobs Board Sales User|UK Jobs Board Sales User|UK Jobs Board Sales User|UK Jobs Board Sales User|UK Jobs Board Sales User|UK Jobs Board Sales User|UK Jobs Board Sales User
53,Account-PRN Account Layout,|Admin|Benelux- GDPR User|ContractManager|Development Services|FI Contract Manager|FI Marketing User|FI Standard User -Lightning|FI Standard User|FI System Administrator|France- GDPR User|GE Contract Manager|GE Local Admin|GE Management User|GE No Extract|GE Opp User|GE Solution Manager|GE Standard User|GO Gorkana Group Super User - US|Identity User|Inactive Profile|MarketingProfile|Premier Support User|PRN Standard User|ReadOnly|REMOVED GO Integration|SE Contract Manager|SE Marketing User|SE Sales Manager User|SE Solution Manager|SE Standard User -Lightning|SE Standard User|SE Support User|SE System Administrator|SE Test User Temp|Senior Insights Manager|SolutionManager|Standard Platform User|Standard|StandardAul|Sys Admin - Data Restrictions|System Administrator Upload|UK New Business%3A PRN %26 Mid-market 2018|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK Solution Manager|UK Standard User|UK VP of Sales|VP of Sales or Customer Operations|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
57,Account-SE Account Layout,|Admin|Benelux- GDPR User|ContractManager|Development Services|France- GDPR User|GE Contract Manager|GE Local Admin|GE Management User|GE Marketing User|GE No Extract|GE Opp User|GE Solution Manager|GE Standard User|GO CPRE|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Management|Identity User|Inactive Profile|MarketingProfile|Premier Support User|PRN Standard User|ReadOnly|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|Senior Insights Manager|SolutionManager|Standard Platform User|Standard|StandardAul|Sys Admin - Data Restrictions|System Administrator Upload|UK Contracts User 2018|UK Credit Control User|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK Solution Manager|UK Standard User|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
24,Account-SE Account Layout -Lightning,|FI Contract Manager|FI Contract Manager|FI Marketing User|FI Marketing User|FI Standard User -Lightning|FI Standard User -Lightning|FI Standard User|FI Standard User|SE Contract Manager|SE Contract Manager|SE Marketing User|SE Marketing User|SE Sales Manager User|SE Sales Manager User|SE Solution Manager|SE Solution Manager|SE Standard User -Lightning|SE Standard User -Lightning|SE Support User|SE Support User|SE System Administrator|SE System Administrator|SE Test User Temp|SE Test User Temp
7,Account-SE Account Layout -Lightning-Manager,|FI System Administrator|FI System Administrator|SE Standard User|SE Standard User|UK VP of Sales|VP of Sales or Customer Operations|VP of Sales or Customer Operations
8,Account-UK Contract Admin Account Layout,|Admin|FI System Administrator|FI System Administrator|SE System Administrator|Sys Admin - Data Restrictions|Sys Admin - Data Restrictions|System Administrator Upload|System Administrator Upload
4,Account-UK Contracts Account Layout 2019,|UK Contracts User 2018|UK Contracts User 2018|UK Credit Control User|UK Credit Control User
0,Account-UK Contracts Account Layout 2019 v%2E2,
